#question; answer; questionLocale; answerLocale
ablak;raam;hu;nl
akkor;dan;hu;nl
alacsony;klein;hu;nl
antipatikus (= ellenszenves);antipathiek (=onsympathiek);hu;nl
asztal;tafel;hu;nl
az a(z);dat/ die;hu;nl
azonnal (= máris);meteen;hu;nl
barátságos;vriendelijk;hu;nl
barátságtalan;onvriendelijk;hu;nl
biztos(an);zeker;hu;nl
bögre;mok;hu;nl
buszjegy;buskaart;hu;nl
buszsofőr;buschauffeur;hu;nl
büfé;kantine, café (in een bedrijf);hu;nl
centi (= centiméter);centimeter;hu;nl
ceruza;potlood;hu;nl
címzett;geadresseerde;hu;nl
csinos;mooi, knap;hu;nl
csúnya;lelijk;hu;nl
dolgozik;werken;hu;nl
Nem tudok dolgozni.;Ik kan niet werken.;hu;nl
drága;duur;hu;nl
egyetem;universiteit;hu;nl
egyszerű;eenvoudig, simpel;hu;nl
együtt;samen;hu;nl
ellenszenves (= antipatikus);onsympathiek (= antipathiek);hu;nl
előtt;voor;hu;nl
az enyém;van mij;hu;nl
esernyő;paraplu;hu;nl
euró;euro;hu;nl
ez a(z);dit/deze;hu;nl
fáradt;moe;hu;nl
feladó;afzender;hu;nl
férfi;man;hu;nl
fiatal;jong;hu;nl
fiók;lade;hu;nl
forint;forint (munteenheid van Hongarije);hu;nl
főnök;baas;hu;nl
friss;fris, vers, fit;hu;nl
gyakorol vmit;iets oefenen;hu;nl
gyakran;vaak;hu;nl
gyógyszer;medicijn;hu;nl
nem ... hanem;nee ... maar;hu;nl
hangulat;sfeer;hu;nl
hát;welnu, nou;hu;nl
hív vkit;iemand bellen;hu;nl
hogy;dat;hu;nl
hölgy;dame;hu;nl
ideális;ideaal;hu;nl
idegen;vreemd;hu;nl
idegen szó;een vreemd woord;hu;nl
ideges;zenuwachtig, nerveus;hu;nl
idős;oud, op leeftijd;hu;nl
igazi;echte;hu;nl
igazolvány;identiteitsbewijs;hu;nl
ilyen;zo een;hu;nl
informatika;informatica;hu;nl
iroda;kantoor;hu;nl
jókedvű;goed gehumeurd, vrolijk;hu;nl
jóképű;knap (man);hu;nl
kamera;camera;hu;nl
kávéfőző;koffiezetapparaat;hu;nl
kávézik;koffie drinken;hu;nl
kedvenc;lievelings, favoriete;hu;nl
kedves;lieve;hu;nl
Kedves Barátom!;Mijn lieve vriend!;hu;nl
kényelmes;comfortabel;hu;nl
kényelmetlen;oncomfortabel;hu;nl
kép;beeld;hu;nl
kerül;kosten;hu;nl
Mennyibe kerül ez a szék?;Hoeveel kost deze stoel?;hu;nl
később;later;hu;nl
kiló (= kilogramm);kilo (= kilogram);hu;nl
kolléga;collega;hu;nl
koordinátor;coördinator;hu;nl
könnyű;gemakkelijk, licht;hu;nl
könyv;boek;hu;nl
kövér;dik;hu;nl
kreatív;creatief;hu;nl
kulcs;sleutel;hu;nl
küld vmit;iets op/versturen;hu;nl
különleges;bijzonder;hu;nl
laptop;laptop;hu;nl
lusta;lui;hu;nl
magas;lang, hoog;hu;nl
magyartanár;leraar Hongaars;hu;nl
magyartanfolyam;cursus Hongaars;hu;nl
mappa;map;hu;nl
máris (= azonnal);meteen;hu;nl
más;anders;hu;nl
megy;gaan;hu;nl
méter;meter;hu;nl
mindennap;elke dag;hu;nl
mindkét;beide;hu;nl
mobil (= mobiltelefon);mobiel;hu;nl
modern;modern;hu;nl
molett;mollig;hu;nl
monitor;monitor;hu;nl
mosolyog;glimlachen;hu;nl
munka;werk;hu;nl
munkahely;werk(plaats);hu;nl
működik;werken;hu;nl
naptár;kalender;hu;nl
nehéz;zwaar, moeilijk;hu;nl
nincs(en);er is (zijn) geen;hu;nl
