#question; answer; questionLocale; answerLocale
ágy ;bed ;hu;nl
bocsánat (= elnézést) ;sorry (= pardon) ;hu;nl
citrom ;citroen ;hu;nl
csak ;slechts, alleen ;hu;nl
de ;maar, toch ;hu;nl
dzsip ;jeep ;hu;nl
éjszaka ;nacht ;hu;nl
elefánt ;olifant ;hu;nl
Nem értem. ;Ik begrijp het niet. ;hu;nl
fejezet ;hoofdstuk ;hu;nl
feladat ;opdracht, taak ;hu;nl
fogalom ;begrip ;hu;nl
Fogalmam sincs. ;Ik zou het echt niet weten. ;hu;nl
fókusz ;focus ;hu;nl
fotel ;fauteuil ;hu;nl
gitár ;gitaar ;hu;nl
gyufa ;lucifer ;hu;nl
hang ;stem ;hu;nl
hasznos ;nuttig ;hu;nl
ház ;huis ;hu;nl
hogy ;hoe ;hu;nl
igen ;ja ;hu;nl
íróasztal ;bureau ;hu;nl
is ;ook ;hu;nl
joghurt ;yoghurt ;hu;nl
kávé ;koffie ;hu;nl
kép ;afbeelding ;hu;nl
Kérdezhetek valamit? ;Mag ik iets vragen? ;hu;nl
ki? ;Wie? ;hu;nl
köszön ;bedanken ;hu;nl
Köszönöm szépen. ;Hartelijk bedankt. ;hu;nl
külföldi ;buitenlander ;hu;nl
lámpa ;lamp ;hu;nl
lassú ;langzaam ;hu;nl
Lassabban; langzamer ;hu;nl
legyen szíves ;alstublieft ;hu;nl
lyuk ;gat ;hu;nl
magánhangzó ;klinker ;hu;nl
magas ;hoog ;hu;nl
magyar ;Hongaars ;hu;nl
magyaróra ;Hongaarse les ;hu;nl
mássalhangzó ;medeklinker ;hu;nl
mély ;laag ;hu;nl
mi? ;Wat? ;hu;nl
minden ;alles ;hu;nl
mobiltelefon ;mobieltje, mobiele telefoon ;hu;nl
Mit mondasz? ;Wat zeg je? ;hu;nl
néhány ;enkele ;hu;nl
nem ;nee ;hu;nl
nemzetközi ;internationaal ;hu;nl
név ;naam;hu;nl
névelő ;lidwoord;hu;nl
nyelv ;taal;hu;nl
nyolc ;acht ;hu;nl
olaj ;olie ;hu;nl
óra ;klok, horloge, uur ;hu;nl
öt ;vijf ;hu;nl
paprika ;paprika ;hu;nl
rádió ;radio ;hu;nl
sajnos ;helaas ;hu;nl
saláta ;salade ;hu;nl
szalámi ;salami ;hu;nl
szép ;mooi ;hu;nl
szívesen ;Graag gedaan ;hu;nl
szó ;woord ;hu;nl
telefon ;telefoon ;hu;nl
teniszütő ;tennisracket ;hu;nl
Tessék? ;Sorry? (Wat zegt u?) ;hu;nl
Nem tudom. ;Ik weet het niet. ;hu;nl
tyúk ;kip ;hu;nl
uborka ;komkommer ;hu;nl
új ;nieuw ;hu;nl
újság ;krant ;hu;nl
utca ;straat ;hu;nl
űrhajós ;astronaut ;hu;nl
üveg ;fles ;hu;nl
valami ;iets ;hu;nl
váza ;vaas ;hu;nl
világos ;duidelijk ;hu;nl
Világos minden? ;Is alles duidelijk? ;hu;nl
whisky ;whisky ;hu;nl
xilofon ;xylofoon ;hu;nl
zebra ;zebra ;hu;nl
zsiráf ;giraf ;hu;nl
Afrika ;Afrika ;hu;nl
Albánia ;Albanië ;hu;nl
Amerika ;Amerika ;hu;nl
Anglia ;Engeland ;hu;nl
anya (= édesanya) ;moeder ;hu;nl
anyuka ;mama, moeder ;hu;nl
anyanyelv ;moedertaal ;hu;nl
apa (= édesapa) ;vader ;hu;nl
apuka ;papa, vader ;hu;nl
Argentína ;Argentinië ;hu;nl
asszisztens ;assistent ;hu;nl
Ausztrália ;Australië ;hu;nl
Ausztria ;Oostenrijk ;hu;nl
Ázsia ;Azië ;hu;nl
azért ... mert ;(daarom) ... omdat ;hu;nl
baj ;probleem ;hu;nl
Semmi baj. ;Geen probleem. ;hu;nl
barát ;vriend ;hu;nl
barátnő ;vriendin ;hu;nl
báty(a) ;oom ;hu;nl
Bécs ;Wenen ;hu;nl
Belgium ;België ;hu;nl
Brazília ;Brasilia ;hu;nl
Brüsszel ;Brussel ;hu;nl
bemutatkozás ;de voorstelling, zich voorstellen ;hu;nl
búcsúzás ;afscheid ;hu;nl
Bulgária ;Bulgarije ;hu;nl
Chile ;Chile ;hu;nl
cím ;adres ;hu;nl
Ciprus ;Cyprus ;hu;nl
család ;familie ;hu;nl
családtag ;familielid ;hu;nl
Csehország ;Tsjechië ;hu;nl
csinál valamit ;iets doen ;hu;nl
Mit csinálsz? ;Wat doe je? Wat ben je aan het doen? ;hu;nl
Csókolom! ;Goedendag! (alleen heren voor dames) ;hu;nl
dél ;zuid ;hu;nl
Dél-Korea ;Zuid-Korea ;hu;nl
egyetemista (= diák) ;student(e) ;hu;nl
Egyiptom ;Egypte ;hu;nl
egymillió ;één miljoen ;hu;nl
elég ;best, aardig ;hu;nl
ember ;mensen ;hu;nl
ember ;mens ;hu;nl
én ;ik ;hu;nl
építészmérnök ;bouwkundig ingenieur ;hu;nl
érdekes ;interessant ;hu;nl
Észtország ;Estland ;hu;nl
ez ;dit/deze ;hu;nl
Mi ez? ;Wat is dit? ;hu;nl
ezer ;duizend ;hu;nl
feleség ;echtgenote, vrouw ;hu;nl
festő ;schilder ;hu;nl
férj ;echtgenoot, man ;hu;nl
Finnország ;Finland ;hu;nl
fiú ;jongen ;hu;nl
foglalkozás ;beroep ;hu;nl
fontos ;belangrijk ;hu;nl
formális ;formeel ;hu;nl
főváros ;hoofdstad ;hu;nl
Franciaország ;Frankrijk ;hu;nl
Ghána ;Ghana ;hu;nl
Görögország ;Griekenland ;hu;nl
gyerek ;kind ;hu;nl
ha ... akkor ;als... dan ;hu;nl
hall valamit;iets horen ;hu;nl
hány? ;Hoeveel? ;hu;nl
harminc ;dertig ;hu;nl
három ;drie ;hu;nl
hasonló ;vergelijkbaar/ soortgelijk ;hu;nl
hat ;zes ;hu;nl
hatvan ;zestig ;hu;nl
házastárs ;echtgenoot(e) ;hu;nl
házszám ;huisnummer ;hu;nl
helyes ;juist ;hu;nl
hétköznapi ;alledaagse ;hu;nl
hét ;zeven ;hu;nl
hetven ;zeventig ;hu;nl
híres ;beroemd ;hu;nl
híres emberek ;beroemde mensen ;hu;nl
hol? ;Waar? ;hu;nl
Hollandia ;Nederland ;hu;nl
Horvátország ;Kroatië ;hu;nl
hotel (= szálloda) ;hotel ;hu;nl
húg ;zusje, kleine zus ;hu;nl
húsz ;twintig ;hu;nl
huszonegy ;éénentwintig ;hu;nl
idő ;tijd ;hu;nl
Mennyi az idő? ;Hoe laat is het? ;hu;nl
ige ;werkwoord ;hu;nl
India ;India ;hu;nl
Indonézia ;Indonesië ;hu;nl
információ ;informatie ;hu;nl
informális ;informeel ;hu;nl
informatikus ;informaticus ;hu;nl
irányítószám ;postcode ;hu;nl
író ;schrijver ;hu;nl
írónő ;schrijfster ;hu;nl
Írország ;Ierland ;hu;nl
iskola ;school ;hu;nl
itt ;hier ;hu;nl
jaj ;oh ;hu;nl
Japán ;Japan ;hu;nl
jó, jól ;goed ;hu;nl
Jó estét! ;Goedenavond! ;hu;nl
Kanada ;Canada ;hu;nl
Kazahsztán ;Kazachstan ;hu;nl
kérdés ;vraag ;hu;nl
kérdőszó ;vraagwoord ;hu;nl
kétnyelvű ;tweetalig ;hu;nl
kettő (= két) ;twee ;hu;nl
kettőszáz (= kétszáz) ;tweehonderd ;hu;nl
kéz ;hand ;hu;nl
Kezét csókolom! ;Goedendag! (Ik kus uw hand! alleen heren voor dames) ;hu;nl
kicsi (= kis) ;klein ;hu;nl
kiejtés ;uitspraak ;hu;nl
kilenc ;negen ;hu;nl
kilencven ;negentig ;hu;nl
Kína ;China ;hu;nl
kíván valamit ;iets wensen ;hu;nl
Jó reggelt kívánok! ;Ik wens u een goede morgen! ;hu;nl
koncert ;concert ;hu;nl
kontinens ;continent ;hu;nl
költő ;dichter ;hu;nl
könyvelő ;accountant ;hu;nl
körülbelül (= kb.) ;circa (=ca.) ;hu;nl
köszönés ;begroeting ;hu;nl
lakcím (= cím) ;adres ;hu;nl
Lehet. ;Het is mogelijk. Dat kan. ;hu;nl
lány ;meisje / dochter ;hu;nl
Lengyelország ;Polen ;hu;nl
Lettország ;Letland ;hu;nl
Lipcse ;Leipzig ;hu;nl
Litvánia ;Litouwen ;hu;nl
majd ;vervolgens ;hu;nl
Magyarország ;Hongarije ;hu;nl
már ;al ;hu;nl
már nem ;niet meer ;hu;nl
masszőr ;masseur ;hu;nl
még ;nog ;hu;nl
melyik? ;Welk(e)? ;hu;nl
menedzser ;manager ;hu;nl
mennyi? ;Hoeveel? ;hu;nl
méret ;maat, afmeting, grootte ;hu;nl
mérnök ;ingenieur ;hu;nl
mert ;want, omdat ;hu;nl
mesél valamiről ;iets vertellen ;hu;nl
Mexikó ;Mexico ;hu;nl
mi ;wij ;hu;nl
miért? ;Waarom? ;hu;nl
millió ;miljoen ;hu;nl
milyen? ;Welk(e)? Wat voor? ;hu;nl
mindig ;altijd ;hu;nl
mindenki ;iedereen ;hu;nl
Dél-Korea olyan kicsi, mint Magyarország.;Zuid-Korea is net zo klein als Hongarije. ;hu;nl
olyan ... mint ;zo (zo’n, zulk)... als ;hu;nl
minta ;voorbeeld ;hu;nl
mobilszám ;Mobiel nummer ;hu;nl
most ;nu ;hu;nl
nagy ;groot ;hu;nl
nagyanya, nagymama;grootmoeder,oma ;hu;nl
nagyon ;zeer, heel ;hu;nl
nagyapa,nagypapa ;grootvader, opa ;hu;nl
nagyszülő ;grootouder ;hu;nl
négy ;vier ;hu;nl
negyven ;veertig ;hu;nl
négyzetkilométer ;vierkante meter ;hu;nl
néha ;af en toe, zelden ;hu;nl
Németország ;Duitsland ;hu;nl
nemzetiség ;nationaliteit ;hu;nl
névjegykártya ;visitekaartje ;hu;nl
Norvégia ;Noorwegen ;hu;nl
nő ;vrouw ;hu;nl
nővér ;zus (oudere) ;hu;nl
nulla ;nul ;hu;nl
nyelviskola ;taalcursus ;hu;nl
Olaszország ;Italië ;hu;nl
olvas valamit ;iets lezen ;hu;nl
operaénekes ;operazangeres ;hu;nl
óra ;klok, uur, horloge ;hu;nl
Oroszország ;Rusland ;hu;nl
ország ;land ;hu;nl
orvos ;dokter ;hu;nl
ott ;daar ;hu;nl
otthon ;thuis ;hu;nl
Az otthoni telefonszámom ;Mijn vaste telefoonnummer ;hu;nl
ő ;hij/zij/het ;hu;nl
öcs ;broertje ;hu;nl
ők ;zij ;hu;nl
Ön ;u ;hu;nl
Önök ;u ;hu;nl
örül ;blij zijn ;hu;nl
Nagyon örülök. ;Aangenaam. ;hu;nl
ötven ;vijftig ;hu;nl
Párizs ;Parijs ;hu;nl
példa ;voorbeeld ;hu;nl
perc ;Minuut ;hu;nl
politikus ;politicus ;hu;nl
pontos ;precies ;hu;nl
Portugália ;Portugal ;hu;nl
Prága ;Praag ;hu;nl
pszichológus ;psycholoog ;hu;nl
Románia ;Roemenië ;hu;nl
saját ;eigen ;hu;nl
sem ;ook niet ;hu;nl
semmi ;niets ;hu;nl
sofőr ;chauffeur ;hu;nl
Spanyolország ;Spanje ;hu;nl
sportoló ;Sporter ;hu;nl
Svájc ;Zwitserland ;hu;nl
Svédország ;Zweden ;hu;nl
szakács ;kok ;hu;nl
szám ;nummer ;hu;nl
száz ;honderd ;hu;nl
százegy ;honderdeen ;hu;nl
százezer ;honderdduizend ;hu;nl
Szentpétervár ;Sint-Petersburg ;hu;nl
szerint ;volgens ;hu;nl
Szerintem ... ;Volgens mij … ;hu;nl
sziget ;eiland ;hu;nl
színész ;acteur ;hu;nl
Szlovákia ;Slowakije ;hu;nl
Szlovénia ;Slovenië ;hu;nl
szuper ;super ;hu;nl
szülő ;ouder ;hu;nl
találkozás ;ontmoeting ;hu;nl
talán ;misschien ;hu;nl
tanár ;leraar ;hu;nl
tanárnő ;lerares ;hu;nl
te ;jij ;hu;nl
telefonszám ;telefoonnummer ;hu;nl
teniszező ;tennisser ;hu;nl
tényleg ;echt waar, werkelijk ;hu;nl
térkép ;landkaart ;hu;nl
testvér ;broer/zus ;hu;nl
Thaiföld ;Thailand ;hu;nl
ti ;jullie ;hu;nl
tíz ;tien ;hu;nl
tizenegy ;elf ;hu;nl
Törökország ;Turkije ;hu;nl
ugye ;nietwaar, toch ;hu;nl
újra ;opnieuw ;hu;nl
Ukrajna ;Oekraïne ;hu;nl
USA ;VS (Verenigde Staten van Amerika) ;hu;nl
üzletember ;zakenman ;hu;nl
valaki ;iemand ;hu;nl
válasz ;antwoord ;hu;nl
város ;stad ;hu;nl
vélemény ;mening ;hu;nl
világ ;wereld ;hu;nl
zeneszerző ;componist ;hu;nl
