#question; answer; questionLocale; answerLocale
a/az ;de/het ;hu;nl
a kávé, az óra ;de koffie, het uur ;hu;nl
ábécé ;alfabet ;hu;nl
ágy ;bed ;hu;nl
autó ;auto ;hu;nl
beszél ;spreek ;hu;nl
Nem beszélek magyarul. ;Ik spreek geen Hongaars. ;hu;nl
bevezető ;inleiding ;hu;nl
bocsánat (= elnézést) ;sorry (= pardon) ;hu;nl
busz ;bus ;hu;nl
citrom ;citroen ;hu;nl
csak ;slechts, alleen ;hu;nl
csokoládé ;chocolade ;hu;nl
de ;maar, toch ;hu;nl
dokumentum ;document ;hu;nl
dzsip ;jeep ;hu;nl
egy ;een ;hu;nl
éjszaka ;nacht ;hu;nl
elefánt ;olifant ;hu;nl
elnézést (= bocsánat) ;pardon (= sorry) ;hu;nl
ért vmit ;iets begrijpen ;hu;nl
Nem értem. ;Ik begrijp het niet. ;hu;nl
és ;en ;hu;nl
fejezet ;hoofdstuk ;hu;nl
feladat ;opdracht, taak ;hu;nl
fogalom ;begrip ;hu;nl
Fogalmam sincs. ;Ik zou het echt niet weten. ;hu;nl
fókusz ;focus ;hu;nl
fotel ;fauteuil ;hu;nl
gitár ;gitaar ;hu;nl
gyufa ;lucifer ;hu;nl
hang ;stem ;hu;nl
hasznos ;nuttig ;hu;nl
hasznos mondat ;een nuttige zin ;hu;nl
ház ;huis ;hu;nl
hogy ;hoe ;hu;nl
Hogy mondják magyarul azt, hogy chair? ;Hoe zeg je chair in het Hongaars? ;hu;nl
igen ;ja ;hu;nl
internet ;internet ;hu;nl
ír vmit ;iets schrijven ;hu;nl
Írja a szót a kép alá! ;Schrijf het woord onder de afbeelding. ;hu;nl
íróasztal ;bureau ;hu;nl
is ;ook ;hu;nl
jelent vmit ;iets betekenen ;hu;nl
Mit jelent az, hogy Bocsánat? ;Wat betekent Bocsánat? ;hu;nl
joghurt ;yoghurt ;hu;nl
kávé ;koffie ;hu;nl
kép ;afbeelding ;hu;nl
kérdez vmit ;iets vragen ;hu;nl
Kérdezhetek valamit? ;Mag ik iets vragen? ;hu;nl
ki? ;Wie? ;hu;nl
köszön ;bedanken ;hu;nl
Köszönöm szépen. ;Hartelijk bedankt. ;hu;nl
külföldi ;buitenlander ;hu;nl
Külföldi vagyok. ;Ik ben een buitenlander. ;hu;nl
lámpa ;lamp ;hu;nl
lassú ;langzaam ;hu;nl
Lassabban, legyen szíves! ;Alstublieft langzamer! ;hu;nl
legyen szíves ;alstublieft ;hu;nl
lyuk ;gat ;hu;nl
magánhangzó ;klinker ;hu;nl
magas/mély magánhangzó ;hoge/lage klinker ;hu;nl
magas ;hoog ;hu;nl
magas magánhangzó ;hoge klinker ;hu;nl
magyar ;Hongaars ;hu;nl
Nem beszélek magyarul. ;Ik spreek geen Hongaars. ;hu;nl
magyaróra ;Hongaarse les ;hu;nl
mássalhangzó ;medeklinker ;hu;nl
mély ;laag ;hu;nl
mély magánhangzó ;lage klinker ;hu;nl
mi? ;Wat? ;hu;nl
Mi ez? ;Wat is dit? ;hu;nl
minden ;alles ;hu;nl
Világos minden? ;Is alles duidelijk? ;hu;nl
mobiltelefon ;mobieltje, mobiele telefoon ;hu;nl
mond vmit ;zeg ;hu;nl
Hogy mondják magyarul azt, hogy;Hoe zeg je chair in het Hongaars? ;hu;nl
Mit mondasz? ;Wat zeg je? ;hu;nl
néhány ;enkele ;hu;nl
néhány szó ;enkele woorden ;hu;nl
nem ;nee ;hu;nl
Nem, nem értem. ;Nee, ik begrijp het niet. ;hu;nl
nemzetközi ;internationaal ;hu;nl
név ;naam;hu;nl
névelő ;lidwoord;hu;nl
határozott/határozatlan névelő ;bepaald/onbepaald lidwoord;hu;nl
nyelv ;taal;hu;nl
a magyar nyelv ;De Hongaarse taal. ;hu;nl
nyolc ;acht ;hu;nl
olaj ;olie ;hu;nl
óra ;klok, horloge, uur ;hu;nl
öt ;vijf ;hu;nl
paprika ;paprika ;hu;nl
rádió ;radio ;hu;nl
sajnos ;helaas ;hu;nl
Sajnos nem értem. ;Ik begrijp het helaas niet. ;hu;nl
saláta ;salade ;hu;nl
szalámi ;salami ;hu;nl
szép ;mooi ;hu;nl
szívesen ;Graag gedaan ;hu;nl
